description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
Psych Environment Intervention,PX-90000004,CDM,90882,CPT,900.0,RC,,,inpatient,,,231.0,173.25,HARVARD PILGRIM [120001],HARVARD PILGRIM INDEPENDENCE GIC PPO [12000108],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00011149203795030912,,psych environment intervention
Egd Flex W/Inj Scleros Esoph/Gast,PX-75000095,CDM,43243,CPT,750.0,RC,,,outpatient,,,2262.0,1696.5,WELLSENSE [1003],WELLSENSE SCO MEDICARE REPLACEMENT [100311],,247.43,,,247.43,247.43,4191.77,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0010918097867831905,,egd flex winj scleros esophgast
SODIUM CHLORIDE 0.9 % IV BOLUS,RX-400291,CDM,J7030,HCPCS,636.0,RC,00338-0049-04,NDC,inpatient,1050.0,ML,7.65,5.74,TRICARE [160005],TRICARE EAST REGION SELECT [16000507],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.687655145781986e-06,,sodium chloride 09 iv bolus
CATHETER ANGIOGRAPHY 5.0FR 65CM 0.035IN TORCON NB NYLON SS ADVANTAGE BEACON VANSCH4 TIP MULTIPURPOSE,SUP-132010,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,537.32,402.99,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE INDEMNITY [11000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00025934577149166224,,catheter angiography 50fr 65cm 0035in torcon nb nylon ss advantage beacon vansch4 tip multipurpose
Nras Gene Analysis Variants in Exon 2&3,PX-31000698,CDM,81311,CPT,310.0,RC,,,outpatient,,,1984.0,1488.0,HARVARD PILGRIM [120001],HPHC QUALITY LIMITED NTWK HMO [12000101],,709.9,,,709.9,289.87,1171.33,fee schedule,,CPT,Unknown,Unknown,Unknown,0.000957625476504736,,nras gene analysis variants exon 23
HC Mgh Splhard Inj Cerv/Tho2lvl,PX-76001888,CDM,22899,CPT,761.0,RC,,,inpatient,,,414.0,310.5,TUFTS HEALTH PLAN [170001],TUFTS POS EPO [17000105],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0001998219975940399,,hc mgh splhard inj cervtho2lvl
SET INTRODUCER SUPER ARROW-FLEX 8FR 80CM HEMOSTATIC VALVE PERCUTANEOUS SHEATH INTEGRAL SIDE PORT ATTACHED 3WAY STOPCOCK RADIOPAQUE TIP BLUE BX/2EA,SUP-2532,CDM,C1894,HCPCS,272.0,RC,,,inpatient,,,420.0,315.0,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND BE HEALTHY PARTNERSHIP ACO [103106],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00020271806184465405,,set introducer super arrowflex 8fr 80cm hemostatic valve percutaneous sheath integral side port attached 3way stopcock radiopaque tip blue bx2ea
ANCHOR SUTURE SIZE 2.9 STITCHPAK ONLY MM,SUP-110355,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,621.53,466.15,MASSHEALTH [3001],CMSP LIMITED [300113],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00029999364217361515,,anchor suture size 29 stitchpak mm
SET INTRODUCER MICROPUNCTURE 5FR/10CM .018IN/40CM 21G/7CM ACCESS STIFFENED CANNULA NITINOL WIRE PLATINUM TIP ECHOGENIC NEEDLE NO BASEPLATE WIRE GUIDE COAXIAL CATHETER PAIR,SUP-177303,CDM,C1894,HCPCS,272.0,RC,,,inpatient,,,156.31,117.23,WELLSENSE [1003],WELLSENSE ESSENTIAL MASSHEALTH MCO [100302],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,7.543925587933062e-05,,set introducer micropuncture 5fr10cm 018in40cm 21g7cm access stiffened cannula nitinol wire platinum tip echogenic needle baseplate wire guide coaxial catheter pair
MICAFUNGIN 100 MG INTRAVENOUS SOLUTION,RX-77685,CDM,J2248,HCPCS,636.0,RC,70710-1725-06,NDC,inpatient,5.0,ML,306.61,229.96,HARVARD PILGRIM [120001],HPHC BILH TIERED PLUS HMO [12000124],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00014798888320638178,,micafungin 100 mg intravenous solution
BONE PLATE 1 SLOT ALPHA MAXLOCK EXTREME IMPLANT,SUP-335151,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,3426.5,2569.87,TUFTS HEALTH PLAN [170001],TUFTS NAVIGATOR POS [17000113],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0016538843722407144,,bone plate 1 slot alpha maxlock extreme implant
POINT SPADE 1.6X150MM GUIDEWIRE ORTHOPEDIC SS THREADED,SUP-32860,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,75.04,56.28,HARVARD PILGRIM [120001],HARVARD PILGRIM HEALTH PLANS INC SELECT HMO [12000115],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.621367452934596e-05,,point spade 16x150mm guidewire orthopedic ss threaded
Tx Disloc Acromioclav W/Man Clsd,PX-76000392,CDM,23545,CPT,761.0,RC,,,outpatient,,,1856.0,1392.0,TUFTS HEALTH PLAN [170001],TUFTS PPO [17000106],,1756.21,,,1856.0,225.09,1756.21,other,Surgical CPT ,CPT,Unknown,Unknown,Unknown,0.0008958427724916347,,tx disloc acromioclav wman clsd
VINBLASTINE 1 MG/ML INTRAVENOUS SOLUTION,RX-8594,CDM,J9360,HCPCS,636.0,RC,63323-0278-10,NDC,inpatient,10.0,ML,209.19,156.89,MEDICARE [2001],MEDICARE PART A & B [200103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00010096323547474309,,vinblastine 1 mgml intravenous solution
Neuropsychological Tst Eval Phys/Qhp Ea Addl Hr,PX-96000033,CDM,96133,CPT,961.0,RC,,,outpatient,,,354.0,265.5,CENTERS OF EXCELLENCE [1026],MGBHP TRANSPLANT [102609],,,71.8,,254.17,78.14,78.14,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.00017086135508789866,,neuropsychological tst eval physqhp ea addl hr
HC Afo Ant Tibial Total Carbon Fiber Prefab Tier1,PX-27000342,CDM,L1932,HCPCS,274.0,RC,,,inpatient,,,1024.0,768.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO MEDICARE REPLACEMENT [11000124],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.000494255196406476,,hc afo ant tibial total carbon fiber prefab tier1
Atherosclerosis Without McC,303,MS-DRG,,,,,,,inpatient,,,44710.37,33532.78,MGB HEALTH PLAN [150001],MGBHP MY CARE FAMILY ACO [15000108],,3782.18,,"Base payment rate plus any adjustments related to capital costs, transfers and outliers.",6996.69,3782.18,23734.57,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.02158067920468129,,atherosclerosis without mcc
SODIUM CITRATE 4 GRAM/100 ML (4 %) SOLUTION,RX-90999,CDM,25009998,HCPCS,250.0,RC,00942-9506-25,NDC,inpatient,1.0,ML,0.15,0.11,TRICARE [160005],TRICARE WEST REGION [16000503],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,6.435698334698056e-08,,sodium citrate 4 gram100 ml 4 solution
SODIUM CHLORIDE 0.9 % INJECTION SOLUTION,RX-41463,CDM,25009998,HCPCS,250.0,RC,00409-4888-20,NDC,inpatient,20.0,ML,5.1,3.82,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION OF MA [16000601],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.452001065519959e-06,,sodium chloride 09 injection solution
GUIDEWIRE ENDOSCOPIC 3.0CM 145X0.038IN WIRE FLEX TIP FIXED CORE NON HYDROPHILIC RADIOPAQUE S/S,SUP-544,CDM,C1769,HCPCS,272.0,RC,,,inpatient,,,58.42,43.81,CIGNA [1006],CIGNA PPO MEDICARE REPLACEMENT [100616],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.8188358705977487e-05,,guidewire endoscopic 30cm 145x0038in wire flex tip fixed core non hydrophilic radiopaque ss
Dest Nerve Neurolytic Celiac Plexus,PX-76001592,CDM,64680,CPT,761.0,RC,,,inpatient,,,4282.0,3211.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH HMO POS [11000118],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.002066818084489946,,dest nerve neurolytic celiac plexus
Radiologic Small Intestine Follow-Through Study|SEPARATE ORGAN/STRUCTURE,PX-32000448,CDM,74248,CPT,320.0,RC,,,outpatient,,,749.0,561.75,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE PREF VALUE MEDICARE REPLACEMENT [100703],XS,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,749.0,,,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.0003615189182533286,,radiologic small intestine followthrough studyseparate organstructure
BONE PLATE VARIAX COMPRESSION NARROW 629503S,SUP-455764,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1843.59,1382.69,HARVARD PILGRIM [120001],HARVARD PILGRIM PPO [12000105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0008898511373420307,,bone plate variax compression narrow 629503s
Iadna Human Papillomavirus High-Risk Types,PX-30002925,CDM,87624,CPT,306.0,RC,,,outpatient,,,428.0,321.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM ME [11000137],,106.55,,,106.55,34.39,195.53,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00020657948084547287,,iadna human papillomavirus highrisk types
Insert Wire/Pin Skeletaltraction,PX-76000298,CDM,20650,CPT,761.0,RC,,,outpatient,,,8873.0,6654.75,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED NON PREFERRED A [12000204],,2361.01,,,8873.0,2361.01,6727.21,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.004282789913584854,,insert wirepin skeletaltraction
PLATE CRANIOMAXILLOFACIAL 1X33MM 11 HOLE BONE TITANIUM ORBITAL RIM,SUP-30998,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,578.06,433.54,GENERIC MEDICARE REPLACEMENT [1010],CDPHP MEDICARE REPLACEMENT [101007],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0002790068299041648,,plate craniomaxillofacial 1x33mm 11 hole bone titanium orbital rim
SCREW BONE 26X2.7MM DARCO FIXATION TITANIUM LOCKING LOW PROFILE ANATOMICALLY SHAPE,SUP-142948,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,483.0,362.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS RI MEDICARE REPLACEMENT [11000128],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00023312673647610236,,screw bone 26x27mm darco fixation titanium locking low profile anatomically shape
FLUOROURACIL 2 % TOPICAL SOLUTION,RX-10067,CDM,25009999,HCPCS,250.0,RC,51672-4062-01,NDC,outpatient,10.0,ML,208.0,156.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND RI [11000139],,,60.04,,124.88,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00010039045832295497,,fluorouracil 2 topical solution
SYSTEM COMBO BAROSTIM NEO LEAD AND IPG,SUP-657287,CDM,C1825,HCPCS,278.0,RC,,,outpatient,,,70000.0,52500.0,INTERNATIONAL COMMERCIAL [140001],QUALITY HEALTH MANAGEMENT [14000112],,,72.0,,50400.0,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.033787409821466455,,system combo barostim neo lead ipg
Pf Dest Lesn Mal Face/Ear 0.6-1.0cm,PX-98300130,CDM,17281,CPT,983.0,RC,,,outpatient,,,519.0,389.25,CENTERS OF EXCELLENCE [1026],OPTUM HEALTH MEDICAID REPLACEMENT TRANSPLANT [102611],,166.24,,,166.24,125.32,532.03,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0002505031219797871,,pf dest lesn mal faceear 0610cm
MRI Orbit/Face/Neck W/O Cont,PX-61000009,CDM,70540,CPT,611.0,RC,,,outpatient,,,4595.0,3446.25,ELDER SERVICES [1037],GENERIC ELDER SERVICES [103604],,199.3,,,199.3,199.3,1397.35,fee schedule,,CPT,Unknown,Unknown,Unknown,0.002217896102896983,,mri orbitfaceneck wo cont
HC Afo Ankle/Foot Static Prefab Custom Fit Pt T1,PX-27000538,CDM,L4396,HCPCS,274.0,RC,,,outpatient,,,156.63,117.47,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE POS [11000142],,240.56,,,240.56,197.3,519.65,fee schedule,,HCPCS,Unknown,Unknown,Unknown,7.559371263936337e-05,,hc afo anklefoot static prefab custom fit pt t1
TRAZODONE 100 MG TABLET,RX-8083,CDM,25009999,HCPCS,250.0,RC,00904-6869-61,NDC,inpatient,1.0,UN,0.64,0.48,HARVARD PILGRIM [120001],HARVARD PILGRIM SIMPLY VIRTUAL [12000120],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.024778217308086e-07,,trazodone 100 mg tablet
HC Afo Ankle Brace Articulating Prefab Tier1,PX-27000339,CDM,L1906,HCPCS,274.0,RC,,,inpatient,,,105.0,78.75,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION OF RI [16000602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.0674688687412494e-05,,hc afo ankle brace articulating prefab tier1
KNEE IMPLANT CEMENT STEM 20MMX120 FEMORAL LEGION TITANIUM ED STRAIGHT,SUP-416045,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,1057.0,792.75,TUFTS HEALTH PLAN [170001],TUFTS PPO [17000106],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005101835497848537,,knee implant cement stem 20mmx120 femoral legion titanium ed straight
Pf Strapping Unna Boot,PX-98300284,CDM,29580,CPT,983.0,RC,,,inpatient,,,144.0,108.0,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM NON PREFERRED A [102004],,,,,,,,,,CPT,Unknown,Unknown,Unknown,6.949910631640431e-05,,pf strapping unna boot
Atp8b1 Sequence Analysis,PX-31000690,CDM,81479,CPT,310.0,RC,,,inpatient,,,3231.0,2423.25,MEDICARE [2001],MEDICARE PART A & B [200103],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0015595241632573717,,atp8b1 sequence analysis
MIRTAZAPINE 7.5 MG TABLET,RX-38421,CDM,25009999,HCPCS,250.0,RC,60687-0584-21,NDC,outpatient,1.0,UN,7.84,5.88,SENIOR WHOLE HEALTH [1014],SENIOR WHOLE HEALTH SCO MEDICAID REPLACEMENT [101404],,,,,7.84,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,3.7777549224677585e-06,,mirtazapine 75 mg tablet
Pf Biopsy Breast Needle Perc W/O,PX-98300136,CDM,19100,CPT,983.0,RC,,,outpatient,,,289.0,216.75,HARVARD PILGRIM [120001],HPHC ELEVATE OPTIONS [12000113],,1237.95,,,2166.41,71.22,1237.95,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.00013948732570624565,,pf biopsy breast needle perc wo
I&D Hematoma/Seroma/Fluid,PX-76000010,CDM,10140,CPT,761.0,RC,,,inpatient,,,2911.0,2183.25,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE ONE CARE MEDICARE REPLACEMENT [100702],,,,,,1237.95,1237.95,,,CPT,Unknown,Unknown,Unknown,0.0014050674032246183,,id hematomaseromafluid
Chg Heart Infarct Image W Ef,PX-34000172,CDM,78468,CPT,341.0,RC,,,outpatient,,,1803.0,1352.25,FALLON HEALTH [1008],FALLON NAVICARE SCO SNP MEDICARE REPLACEMENT [100815],,,,,1803.0,774.38,1614.07,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0008702608716112098,,chg heart infarct image w ef
SPINE CONNECTOR 20 TO 30MM CROSS H2H,SUP-603792,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1795.5,1346.62,CENTERS OF EXCELLENCE [1026],OPTUM HEALTH MEDICAID REPLACEMENT TRANSPLANT [102611],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0008666375734487748,,spine connector 20 30mm cross h2h
GUIDEWIRE AMPLATZ 260CM .035IN PTFE EXTRA STIFF CURVED THSCF APEX 1,SUP-490931,CDM,C1769,HCPCS,272.0,RC,,,inpatient,,,308.46,231.34,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM PREFERRED A [102002],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00014887700957657012,,guidewire amplatz 260cm 035in ptfe extra stiff curved thscf apex 1
TREMELIMUMAB-ACTL 20 MG/ML INTRAVENOUS SOLUTION,RX-212926,CDM,J9347,HCPCS,636.0,RC,00310-4505-25,NDC,outpatient,1.25,ML,14088.75,10566.56,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS RI HMO POS [11000126],,6152.82,,,6152.82,3324.92,8358.5,fee schedule,,HCPCS,Unknown,Unknown,Unknown,0.0068003128238503735,,tremelimumabactl 20 mgml intravenous solution
Metoclopramide Inj 10mg,PX-63600168,CDM,J2765,HCPCS,636.0,RC,,,inpatient,,,3.83,2.87,AETNA [1001],AETNA SCO DUAL MEDICARE REPLACEMENT [100115],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.840609723723644e-06,,metoclopramide inj 10mg
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION,RX-353,CDM,25009999,HCPCS,259.0,RC,00536-0091-85,NDC,inpatient,473.0,ML,20.1,,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION OF MA [16000601],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,aluminum hydroxide gel 320 mg5 ml oral suspension
DEVICE STENT 32MM .021IN COMANECI EMBOLIZATION ASSIST,SUP-640959,CDM,,,272.0,RC,,,outpatient,,,11000.0,8250.0,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK HYBRID [101804],,,40.0,,4400.0,,,percent of total billed charges,,CDM,Unknown,Unknown,Unknown,0.0053094446904275614,,device stent 32mm 021in comaneci embolization assist
Ketogenic Steroids Fraction,PX-30000534,CDM,83582,CPT,301.0,RC,,,inpatient,,,230.0,172.5,GENERIC MEDICARE REPLACEMENT [1010],WELLSENSE NH MEDICARE REPLACEMENT [101004],,,,,,56.23,59.06,,,CPT,Unknown,Unknown,Unknown,0.00011100936057520676,,ketogenic steroids fraction
Insert Cath Cv Tunl W/O Port<5yrs,PX-76001084,CDM,36557,CPT,361.0,RC,,,inpatient,,,7895.0,5921.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM PATHWAY HMO POS [11000116],,,,,,3938.87,3938.87,,,CPT,Unknown,Unknown,Unknown,0.0038107314407347516,,insert cath cv tunl wo port5yrs
K-WIRE STANDARD 1.5X127MM TIP TITANIUM,SUP-540431,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,98.0,73.5,WELLSENSE [1003],WELLSENSE SOUTHCOAST ALLIANCE ACO [100309],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.7295947061696014e-05,,kwire standard 15x127mm tip titanium
TUBE ENTERAL 1.5XX15X GASTRIC JEJUNAL LOW PROFILE G-JET,SUP-560791,CDM,,,272.0,RC,,,outpatient,,,1655.5,1241.62,MEDICAID NON MASSACHUSETTS [3002],GENERIC MEDICAID OUT OF STATE [300203],,,,,1655.5,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,0.0007990627409344452,,tube enteral 15xx15x gastric jejunal low profile gjet
KIT TUBE FEEDING 4.5CM GASTROSTOMY MIC-KEY LF SILICONE 5.ML BALLOON LOW PROFILE STERILE DISP,SUP-600955,CDM,,,272.0,RC,,,inpatient,,,342.48,256.86,FALLON HEALTH [1008],FALLON NAVICARE SCO SNP MEDICARE REPLACEMENT [100815],,,,,,,,,,CDM,Unknown,Unknown,Unknown,0.00016530091172671955,,kit tube feeding 45cm gastrostomy mickey lf silicone 5ml balloon low profile sterile disp
SUCCIMER 100 MG CAPSULE,RX-11438,CDM,25009999,HCPCS,250.0,RC,55292-0201-11,NDC,outpatient,1.0,UN,93.65,70.24,INTERNATIONAL COMMERCIAL [140001],UNITED INTERNATIONAL [14000114],,,77.01,,72.12,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,4.519790940458444e-05,,succimer 100 mg capsule
Endovasc Pl Dvc Occl Art Iliac,PX-76000869,CDM,34808,CPT,361.0,RC,,,inpatient,,,5148.0,3861.0,ELDER SERVICES [1037],PEAK PACE SOLUTIONS [103605],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0024848166913285846,,endovasc pl dvc occl art iliac
Drug Screen Quant Dipropylacetic Acid Free,PX-30002831,CDM,80165,CPT,301.0,RC,,,outpatient,,,207.0,155.25,TUFTS HEALTH PLAN [170001],TUFTS POS EPO [17000105],,63.21,,,63.21,13.27,101.68,fee schedule,,CPT,Unknown,Unknown,Unknown,9.990778094785261e-05,,drug screen quant dipropylacetic acid free
HYDROMORPHONE 0.5 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SYRINGE,RX-127812,CDM,J1171,HCPCS,636.0,RC,61553-0352-78,NDC,inpatient,1.0,ML,21.93,16.45,ELDER SERVICES [1037],GENERIC ELDER SERVICES [103604],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.0580288062243603e-05,,hydromorphone 05 mgml 09 sodium chloride intravenous syringe
Xr Lmphangio Extremity Uni,PX-32000242,CDM,75801,CPT,320.0,RC,,,inpatient,,,3088.0,2316.0,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK PREFERRED [101802],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.001490501298617735,,xr lmphangio extremity uni
Glucose Reagent Strip,PX-30000464,CDM,82948,CPT,301.0,RC,,,inpatient,,,40.0,30.0,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK PREFERRED [101802],,,,,,17.99,18.9,,,CPT,Unknown,Unknown,Unknown,1.930065930575947e-05,,glucose reagent strip
ATROPINE 0.4 MG/ML INJECTION SOLUTION,RX-731,CDM,J0461,HCPCS,636.0,RC,16729-0512-43,NDC,outpatient,20.0,ML,34.17,25.63,WELLPOINT [1015],WELLPOINT GIC PLUS PPO [101506],,176.0,,,34.17,176.0,176.0,fee schedule,,HCPCS,Unknown,Unknown,Unknown,1.6488259133496418e-05,,atropine 04 mgml injection solution
